Binomial.1.2,Q
Brachylagus_idahoensis,1781.8844389232395
Brachyprotoma_obtusata,90.53708717840028
Brachytarsomys_albicauda,911.471829051882
Brachytarsomys_villosa,904.504828193422
Brachyteles_arachnoides,568.7071391958275
Brachyteles_hypoxanthus,537.8563131955692
Brachyuromys_betsileoensis,709.763303660919
Brachyuromys_ramirohitra,711.6365487323064
Bradypus_pygmaeus,1290.7075706509752
Bradypus_torquatus,1025.9380254137916
Bradypus_tridactylus,1400.5604299346583
Bradypus_variegatus,1598.2916244992418
Brotomys_voratus,1257.685606690145
Brucepattersonius_albinasus,834.7466799632127
Brucepattersonius_griserufescens,884.9959205953458
Brucepattersonius_guarani,905.7536695797153
Brucepattersonius_igniventris,919.0089460620403
Brucepattersonius_iheringi,958.7615253010531
Brucepattersonius_misionensis,920.8578118134344
Brucepattersonius_paradisus,945.7940328783336
Brucepattersonius_soricinus,888.1139445650022
Bubalus_arnee,1804.6734889452232
Bubalus_depressicornis,1204.0857117692844
Bubalus_grovesi,1270.4646332468164
Bubalus_mindorensis,1432.657191119887
Bubalus_palaeokerabau,1972.141975158074
Bubalus_quarlesi,1168.8959337845806
Budorcas_taxicolor,624.5256490458409
Bullimus_bagobus,2506.050084666646
Bullimus_gamay,2436.7763310618134
Bullimus_luzonicus,2536.3148657163724
Bunolagus_monticularis,2097.2138083289046
Bunomys_andrewsi,1969.1626575405744
Bunomys_chrysocomus,1937.406340451233
Bunomys_coelestis,1962.1268489044835
Bunomys_fratrorum,1981.472482086349
Bunomys_penitus,2091.005019831742
Bunomys_prolatus,1985.3721026392468
Burramys_parvus,1768.5669353868097
Cabassous_centralis,38.468494214439445
Cabassous_chacoensis,35.9929513310121
Cabassous_tatouay,47.85690677288943
Cabassous_unicinctus,37.55420954898939
Cacajao_calvus,401.4597364095278
Cacajao_hosomi,325.0664571434967
Caenolestes_caniventer,215.3168693088648
Caenolestes_condorensis,223.79531830786743
Caenolestes_convelatus,218.11771473672826
Caenolestes_fuliginosus,203.81533184693512
Caenolestes_sangay,214.6450708821087
Caipora_bambuiorum,663.3117694094396
Calcochloris_obtusirostris,452.6851669149995
Calcochloris_tytonis,508.3779483039651
Callicebus_aureipalatii,178.61645725606667
Callicebus_baptista,189.2856455812397
Callicebus_barbarabrownae,224.09472214676654
Callicebus_bernhardi,192.34278273981192
Callicebus_brunneus,199.33147156759028
Callicebus_caligatus,205.26200618092494
Callicebus_caquetensis,178.74081506546685
Callicebus_cinerascens,194.88341731940562
Callicebus_coimbrai,226.1599533670049
Callicebus_cupreus,156.15774645192647
Callicebus_discolor,171.23062483592284
Callicebus_donacophilus,197.24812615964515
Callicebus_dubius,185.0117153601164
Callicebus_hoffmannsi,190.2550375375726
Callicebus_lucifer,201.25345744309865
Callicebus_lugens,196.92021925038463
Callicebus_medemi,198.89460907910282
Callicebus_melanochir,226.37175387912876
Callicebus_modestus,207.17306414784758
Callicebus_moloch,190.52748625875003
Callicebus_nigrifrons,225.62921230439045
Callicebus_oenanthe,204.06421645134202
Callicebus_olallae,205.0576977823145
Callicebus_ornatus,166.22871022581936
Callicebus_pallescens,198.0221770697954
Callicebus_personatus,231.75265468391154
Callicebus_purinus,199.94043433113507
Callicebus_regulus,199.11063277888027
Callicebus_stephennashi,169.6456077777851
Callicebus_torquatus,187.3055718967877
Callimico_goeldii,83.43609186941082
Callistomys_pictus,2574.078688033795
Callithrix_aurita,135.24869312435618
Callithrix_flaviceps,128.27606086926158
Callithrix_geoffroyi,185.3205782564153
Callithrix_jacchus,219.67985968653548
Callithrix_kuhlii,191.24058016525316
Callithrix_penicillata,207.229178552575
Callosciurus_adamsi,335.2468453757912
Callosciurus_albescens,248.55719058603694
Callosciurus_baluensis,394.440487763503
Callosciurus_caniceps,384.4235562986945
Callosciurus_erythraeus,393.3731499920956
Callosciurus_finlaysonii,390.02247169622746
Callosciurus_inornatus,390.47187230503806
Callosciurus_melanogaster,357.5343347758028
Callosciurus_nigrovittatus,235.93107400697315
Callosciurus_notatus,360.7789071890162
Callosciurus_orestes,389.26803177762264
Callosciurus_phayrei,366.9479793162111
Callosciurus_prevostii,326.06303989823726
