Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,log10fmr,se.fmr,log10density,se.dens
Megadontomys_thomasi,Rodentia,Cricetidae,Megadontomys,thomasi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,111,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,EN,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.2610311666666667,0.06561466735784215,2.562811803875447,0.30660472598692173
Megaladapis_edwardsi,Primates,Megaladapidae,Megaladapis,edwardsi,1,0,0,0,Imputed,PHYLACINE 1.2.1,85000,Reported,"Werdelin L & Sanders WJ (eds) Cenozoic Mammals of Africa (2010). Subfossil Lemurs of Madagascar Godfrey LR, Jungers WL, Burney DA",NA,NA,Occurs only on isolated islands,EP,Yes,100,0,0,Estimated Craniodental Genus,"Perry, J. M. G. 2018. Inferring the Diets of Extinct Giant Lemurs from Osteological Correlates of Muscle Dimensions. The Anatomical Record 301:343-362.",3.9889536,0.1242489912390009,0.9748801009521776,0.49096430788843515
Megaladapis_grandidieri,Primates,Megaladapidae,Megaladapis,grandidieri,1,0,0,0,Imputed,PHYLACINE 1.2.1,74000,Reported,"Werdelin L & Sanders WJ (eds) Cenozoic Mammals of Africa (2010). Subfossil Lemurs of Madagascar Godfrey LR, Jungers WL, Burney DA",NA,NA,Occurs only on isolated islands,EP,Yes,100,0,0,Estimated Craniodental Genus,"Perry, J. M. G. 2018. Inferring the Diets of Extinct Giant Lemurs from Osteological Correlates of Muscle Dimensions. The Anatomical Record 301:343-362.",3.9455331333333334,0.12462810727420769,1.013730948962693,0.49387781554414606
Megaladapis_madagascariensis,Primates,Megaladapidae,Megaladapis,madagascariensis,1,0,0,0,Imputed,PHYLACINE 1.2.1,46500,Reported,"Werdelin L & Sanders WJ (eds) Cenozoic Mammals of Africa (2010). Subfossil Lemurs of Madagascar Godfrey LR, Jungers WL, Burney DA",NA,NA,Occurs only on isolated islands,EP,Yes,100,0,0,Estimated Craniodental Genus,"Perry, J. M. G. 2018. Inferring the Diets of Extinct Giant Lemurs from Osteological Correlates of Muscle Dimensions. The Anatomical Record 301:343-362.",3.806422655555555,0.12400533258831276,1.1046924200957,0.49747387548168315
Megalibgwilia_ramsayi,Monotremata,Tachyglossidae,Megalibgwilia,ramsayi,1,0,0,0,Imputed,PHYLACINE 1.2.1,10000,Reported,Johnson C Australia's Mammal Extinctions. A 50000 year History (2007),NA,NA,Occurs on mainland,EP,Yes,0,0,100,Estimated Craniodental Species,"Griffiths, M., et al. 1991. Observations on the skulls of fossil and extant echidnas (monotremata: tachyglossidae). Australian Mammalogy 14:84-101.",3.2034410555555555,0.13105985802354136,0.32945962672316725,0.7298978645983074
Megaloceros_giganteus,Cetartiodactyla,Cervidae,Megaloceros,giganteus,1,0,0,0,Imputed,PHYLACINE 1.2.1,699842,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,EP,Yes,100,0,0,Estimated Expert Species,"Chritz, K. L., et al. 2009. Palaeobiology of an extinct Ice Age mammal: stable isotope and cementum analysis of giant deer teeth. Palaeogeography, Palaeoclimatology, Palaeoecology 282:133-144.",4.981646888888889,0.08596858442374085,0.06907895863342328,0.3266770201361786
Megalocnus_rodens,Pilosa,Megalonychidae,Megalocnus,rodens,1,0,0,0,Imputed,PHYLACINE 1.2.1,149968.5,Reported,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,Occurs only on isolated islands,EP,Yes,100,0,0,Estimated Expert Genus,"Pujos, F., et al. 2012. Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths. Journal of Mammalian Evolution 19:159-169.",3.9118177,0.1035967628514324,1.099892257521443,0.4614873853321479
Megalocnus_zile,Pilosa,Megalonychidae,Megalocnus,zile,1,0,0,0,Imputed,PHYLACINE 1.2.1,149968.5,Reported,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,Occurs only on isolated islands,EP,Yes,100,0,0,Estimated Expert Genus,"Pujos, F., et al. 2012. Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths. Journal of Mammalian Evolution 19:159-169.",3.911240888888889,0.10397500422611874,1.0979608393544398,0.462479785632152
Megalomys_audreyae,Rodentia,Cricetidae,Megalomys,audreyae,1,0,0,0,Imputed,PHYLACINE 1.2.1,180,Reported,Mammalian Biology 77: 404-413 (2012),NA,NA,Occurs only on isolated islands,EP,Yes,79,5,16,Imputed 000 Species,PHYLACINE 1.2.1,2.4117867222222222,0.07872633886496849,2.3055956859949807,0.2648067723841523
Megalomys_desmarestii,Rodentia,Cricetidae,Megalomys,desmarestii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,288,Reported,Mammalian Biology 77: 404-413 (2012),NA,NA,Occurs only on isolated islands,EX,No,78,6,16,Imputed 000 Species,PHYLACINE 1.2.1,2.5528258,0.07916670384296486,2.2077231396763053,0.26890292367297053
Megalomys_georginae,Rodentia,Cricetidae,Megalomys,georginae,1,0,0,0,Imputed,PHYLACINE 1.2.1,101,Reported,Mammalian Biology 77: 404-413 (2012),NA,NA,Occurs only on isolated islands,EP,Yes,78,5,17,Imputed 000 Species,PHYLACINE 1.2.1,2.2384458,0.0785796880233406,2.436550760009613,0.26539798550755933
Megalomys_luciae,Rodentia,Cricetidae,Megalomys,luciae,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,160,Reported,Mammalian Biology 77: 404-413 (2012),NA,NA,Occurs only on isolated islands,EX,No,78,5,17,Imputed 000 Species,PHYLACINE 1.2.1,2.376600877777778,0.0789771312682974,2.338312316732243,0.26661418911478485
Megalonyx_jeffersonii,Pilosa,Megalonychidae,Megalonyx,jeffersonii,1,0,0,0,Imputed,PHYLACINE 1.2.1,1090350,Reported,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,Occurs on mainland,EP,Yes,100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",4.505638911111111,0.10442138425034173,0.6728757286947419,0.4715798545420233
