Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,log10FMR_est,se.fmr,log10dens.est,se.dens
Ochotona_roylei,Lagomorpha,Ochotonidae,Ochotona,roylei,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,260,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.5722170205528796,0.13576827899992985,3.3505840437164975,0.22160785660956478
Ochotona_rufescens,Lagomorpha,Ochotonidae,Ochotona,rufescens,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.5642848137036207,0.1325595835628261,3.351835798503991,0.219975966006828
Ochotona_rutila,Lagomorpha,Ochotonidae,Ochotona,rutila,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,270,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.583385472434614,0.13488945362031998,3.349379536392791,0.2231836303376694
Ochotona_syrinx,Lagomorpha,Ochotonidae,Ochotona,syrinx,1,0,0,0,Imputed,PHYLACINE 1.2,118.7,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,LC,No,100,0,0,Imputed 000 Species,PHYLACINE 1.2,2.387705434100477,0.10318630088567707,3.375608545585692,0.19028041348946062
Ochotona_thibetana,Lagomorpha,Ochotonidae,Ochotona,thibetana,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,104,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.3479097181891246,0.1028220278619435,3.379828063474039,0.18531767607732055
Ochotona_thomasi,Lagomorpha,Ochotonidae,Ochotona,thomasi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,77.5,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.246814395651398,0.1094855408314426,3.389214871607475,0.17469576760299516
Ochotona_turuchanensis,Lagomorpha,Ochotonidae,Ochotona,turuchanensis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,148.2,Assumed isometric based on head-body length,IUCN species fact sheet,Ochotona_hyperborea,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",Occurs on mainland,LC,No,100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",2.421753352527942,0.11636147474591481,3.368524437716715,0.19884256272517647
Ochotona_whartoni,Lagomorpha,Ochotonidae,Ochotona,whartoni,1,0,0,0,Imputed,PHYLACINE 1.2,494.4,Assumed isometric based on teeth size,Quarternary Research 45: 93-101 (1996),Ochotona_princeps,Quarternary Research 45: 93-101 (1996),Occurs on mainland,EP,Yes,100,0,0,Imputed 000 Species,PHYLACINE 1.2,2.7956267074321457,0.1153679822374762,3.3300730237295904,0.24908945208161554
Ochrotomys_nuttalli,Rodentia,Cricetidae,Ochrotomys,nuttalli,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,22.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.6733664391013359,0.07908200230078576,2.910889460882469,0.04194657477679885
Octodon_bridgesi,Rodentia,Octodontidae,Octodon,bridgesi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,150,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.2478308147581787,0.06168611593364416,2.583084753663157,0.06449006605324574
