Name_Ecosystem;Name_Ecosystem_new;Continent;Lat;Long;TotalHerbivoreBiomass_kgkm2;20kg_TotalHerbivoreBiomass_kgkm2;Year;Megafauna;Wolf_exploited;Livestock;Migrating_ecosystems;Source;Original_references;Note
Ranthambhore National Park India;Ranthambhore;Asia;26.00693;76.49153;3184.279898;3864.544529;1995;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Ranthambhore National Park India;Ranthambhore;Asia;26.00693;76.49153;3864.544529;3261.419847;1997;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Sariska Tiger Reserve India;Sariska;Asia;27.31565;76.43633;3261.419847;2207.84642;1991;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Sariska Tiger Reserve India;Sariska;Asia;27.31565;76.43633;2207.84642;2166.648961;1992;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Sariska Tiger Reserve India;Sariska;Asia;27.31565;76.43633;2166.648961;2166.046189;1993;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Sariska Tiger Reserve India;Sariska;Asia;27.31565;76.43633;2166.046189;2306.583141;1995;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Sariska Tiger Reserve India;Sariska;Asia;27.31565;76.43633;2306.583141;2609.200924;1997;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Similipal Tiger Reserve India;Similipal;Asia;21.79753;86.34299;2609.200924;5155.621302;1997;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Sunderbans Tiger Reserve India;Sunderbans;Asia;21.94418;88.89804;5248.87574;1308.035;1992;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Tadoba-andhari Tiger Reserve India;Tadoba-andhari;Asia;20.24358;79.39893;1501.797813;1275.3248;1994;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Tadoba-andhari Tiger Reserve India;Tadoba-andhari;Asia;20.24358;79.39893;1298.80528;1438.096;1995;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Tadoba-andhari Tiger Reserve India;Tadoba-andhari;Asia;20.24358;79.39893;1473.85504;1586.7568;1996;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Tadoba-andhari Tiger Reserve India;Tadoba-andhari;Asia;20.24358;79.39893;1627.85328;1745.2208;1997;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Taman Negara National Park;Taman;Asia;4.55;102.4;5814;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Kawanishi_and_Sunquist_(2004);Not included in Hatton
Udjung Kulong;Udjung;Asia;-6.75;105.33;494;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Eisenberg_and_Seidensticker_(1976);Not included in Hatton
